[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,New Hampshire,Science and engineering,Engineering,Private,Female,Foreign nationals,51
2018,Wisconsin,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,171"
2018,Wisconsin,Science and engineering,Science,Public,Male,Foreign nationals,"1,009"
2018,Wisconsin,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,106"
2018,Wisconsin,Science and engineering,Science,Public,Female,Foreign nationals,660
2018,Wisconsin,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),179
2018,Wisconsin,Science and engineering,Science,Private,Male,Foreign nationals,81
2018,Wisconsin,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),197
2018,Wisconsin,Science and engineering,Science,Private,Female,Foreign nationals,61
2018,Wisconsin,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),890
2018,Wisconsin,Science and engineering,Engineering,Public,Male,Foreign nationals,644
2018,Wisconsin,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),250
2018,Wisconsin,Science and engineering,Engineering,Public,Female,Foreign nationals,197
2018,Wisconsin,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),103
2018,Wisconsin,Science and engineering,Engineering,Private,Male,Foreign nationals,62
2018,Wisconsin,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),24
2018,Wisconsin,Science and engineering,Engineering,Private,Female,Foreign nationals,15
2018,New Jersey,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,655"
2018,New Jersey,Science and engineering,Science,Public,Male,Foreign nationals,"1,181"
2018,New Jersey,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,810"
2018,New Jersey,Science and engineering,Science,Public,Female,Foreign nationals,767
2018,New Jersey,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),926
2018,New Jersey,Science and engineering,Science,Private,Male,Foreign nationals,"1,167"
2018,New Jersey,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),839
2018,New Jersey,Science and engineering,Science,Private,Female,Foreign nationals,541
2018,New Jersey,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),807
